Designator,Mid X,Mid Y,Rotation,Layer
C10,63.3368,-62.992,0.0,top
C11,72.3392,-75.6412,180.0,top
C12,59.5376,-64.834888,-90.0,top
C13,63.2352,-69.6468,0.0,top
C14,105.3484,-65.6336,0.0,top
C15,90.464,-65.6844,0.0,top
C16,130.7846,-94.0726,-90.0,top
C17,170.4892,-105.7456,90.0,top
C18,120.1874,-113.9662,0.0,top
C19,129.901,-114.017,180.0,top
C20,67.3608,-80.264,90.0,top
C21,140.3604,-82.6226,180.0,top
C22,114.7172,-101.9556,180.0,top
C23,70.8044,-80.7212,0.0,top
C24,78.1196,-103.4288,0.0,top
C25,77.6224,-100.7472,90.0,top
C26,78.018,-93.0656,0.0,top
C3,98.3288,-114.4524,180.0,top
C4,90.17,-83.586,-90.0,top
C5,103.164,-86.9188,0.0,top
C6,97.6376,-101.4676,-90.0,top
C7,106.0196,-94.9052,90.0,top
C8,101.346,-112.1156,-90.0,top
C9,89.4588,-102.656,-90.0,top
D1,90.2208,-117.7036,0.0,top
D10,59.1312,-83.6894,-90.0,top
D11,74.0156,-83.7692,-90.0,top
D2,95.8814,-117.6528,0.0,top
D3,65.6554,-66.5988,0.0,top
D4,113.5162,-81.7372,180.0,top
D5,113.313,-86.614,180.0,top
D6,111.223,-90.1192,0.0,top
D7,111.2738,-94.0816,0.0,top
D8,107.7976,-81.1494,-90.0,top
D9,67.6148,-74.93,90.0,top
GND2,94.9452,-98.0948,90.0,top
GND8,111.9632,-98.1456,90.0,top
In1,61.5696,-118.8435,-90.0,top
InTTL1,176.0728,-46.8376,0.0,top
L1,100.584,-102.0274,-90.0,top
L2,98.319,-86.4616,0.0,top
L3,99.1406,-81.9912,180.0,top
L4,155.8036,-78.6384,0.0,top
L5,155.8036,-75.2348,0.0,top
LH1,104.5674,-105.7148,0.0,top
LH2,102.9506,-94.488,180.0,top
Out1,73.914,-118.8435,-90.0,top
PSWR1,82.8548,-111.76,180.0,top
PSWR2,113.7412,-111.76,180.0,top
PSWR3,144.6276,-111.8108,180.0,top
Pow5V1,96.3168,-59.436,90.0,top
Pow5V2,163.1188,-64.8158,0.0,top
Pow5V3,64.8716,-59.436,90.0,top
Pow5V4,127.2998,-59.4868,90.0,top
PowIn1,61.6084,-73.9648,-90.0,top
PresOUT1,170.4892,-99.6496,0.0,top
Q1,93.6752,-107.8528,0.0,top
Q2,96.2196,-92.7608,90.0,top
R1,95.504,-111.8108,180.0,top
R10,132.6388,-117.2682,-90.0,top
R11,72.107,-71.4248,0.0,top
R12,58.8772,-98.5012,90.0,top
R13,74.2188,-98.5012,90.0,top
R2,93.7768,-86.0842,90.0,top
R3,100.8598,-90.3732,0.0,top
R4,94.4662,-102.0572,180.0,top
R5,100.7364,-107.3622,-90.0,top
R6,110.0328,-106.8324,90.0,top
R7,104.5174,-102.0064,0.0,top
R8,103.7336,-83.2612,90.0,top
R9_2,100.7364,-63.6742,-90.0,top
R9,175.514,-36.801,-45.0,top
RF3.3V1,113.6904,-77.0686,180.0,top
RFIn1,58.8772,-113.284,180.0,top
RFIn2,89.9668,-113.284,180.0,top
RFPresOut1,104.8462,-59.436,90.0,top
RFPresOut2,73.8582,-59.436,90.0,top
RFPresOut3,138.43,-59.436,-90.0,top
RFTTL1,90.424,-92.7608,180.0,top
RLSerieParallelo1,5.1816,-76.2,0.0,top
RV1,109.1542,-111.5834,0.0,top
RV2,83.133,-90.7138,-90.0,top
RV3,83.0072,-100.8888,-90.0,top
Reset1,72.2896,-63.5868,0.0,top
T1,64.008,-105.6132,90.0,top
T2,64.008,-90.17,90.0,top
U1,90.5764,-76.962,90.0,top
U2,83.241,-81.534,90.0,top
U3,120.2182,-76.2218,0.0,top
U4,183.0324,-42.8244,0.0,top
UnRegPwReset1,82.7024,-66.817,0.0,top
UnRegPwReset2,113.6904,-66.802,0.0,top
UnRegPwReset3,144.6784,-66.817,0.0,top
Y1,122.518,-118.081,0.0,top
